MIDPNT_LON, ALLVEH_AMPEAK, FLOW, LABEL, ALLVEHS_AADT, LOCATION_ID, ALLVEH_PMPEAK, YR,MIDPNT_LAT, GROWTH_RATE, OBJECTID
145.1295961,,SOUTH BOUND,"12,000* (6% 762*) SOUTH BOUND",12000,5151,,2017,-37.76997516,0.015,355685
144.8283747,,SOUTH BOUND,"8,800* (8% 669*) SOUTH BOUND",8800,2834,,2017,-37.77911058,-0.004,355697
144.9623736,,SOUTH EAST BOUND,"31,000* (2% 622*) SOUTH EAST BOUND",31000,4903,,2017,-37.82809167,0.003,355700
144.9795495,,SOUTH EAST BOUND,"26,000* (3% 687*) SOUTH EAST BOUND",26000,4700,,2017,-37.85368431,0.005,355701
145.0261553,,EAST BOUND,"31,000* (5% 1,700*) EAST BOUND",31000,4908,,2017,-37.86548383,0.001,355702
145.0980263,1200,SOUTH EAST BOUND,"19,000 (5% 1,000*) SOUTH EAST BOUND",19000,4707,1500,2017,-37.8962529,0.011,355703
145.1567392,1100,SOUTH EAST BOUND,"21,000 (5% 1,100*) SOUTH EAST BOUND",21000,4708,2300,2017,-37.93314675,-0.002,355704
145.2118352,,SOUTH EAST BOUND,"18,000* (5% 969*) SOUTH EAST BOUND",18000,4709,,2017,-37.98263358,0,355705
145.1418206,,SOUTH BOUND,"27,000* (4% 1,200*) SOUTH BOUND",27000,4977,,2017,-38.04322303,-0.003,355707
145.1384602,,SOUTH BOUND,"28,000* (5% 1,400*) SOUTH BOUND",28000,4978,,2017,-38.11138963,0.008,355708
145.1334786,,SOUTH BOUND,"16,000* (5% 848*) SOUTH BOUND",16000,4981,,2017,-38.15253539,-0.03,355709
145.2271427,,EAST BOUND,"18,000* (5% 876*) EAST BOUND",18000,5164,,2017,-37.84762775,-0.014,355711
145.0027165,898,EAST BOUND,"12,000 (6% 760*) EAST BOUND",12000,4768,1000,2017,-37.89935862,0.023,355712
144.9807452,,SOUTH BOUND,"4,300* (6% 263*) SOUTH BOUND",4300,4770,,2017,-37.86964062,-0.004,355713
145.0021695,,EAST BOUND,"9,100* (5% 449*) EAST BOUND",9100,4772,,2017,-37.80074263,0.009,355714
145.0278837,853,SOUTH BOUND,"11,000 (2% 234*) SOUTH BOUND",11000,3633,761,2017,-37.81364894,-0.011,355715
145.0250384,,SOUTH BOUND,"20,000* (5% 904*) SOUTH BOUND",20000,3636,,2017,-37.78187599,0,355716
145.0206178,1400,SOUTH BOUND,"16,000 (4% 703*) SOUTH BOUND",16000,3640,1200,2017,-37.75443303,-0.005,355717
144.9837951,,EAST BOUND,"10,000* (6% 626*) EAST BOUND",10000,3644,,2017,-37.76738003,-0.001,355718
144.8696953,,SOUTH BOUND,"6,700* (5% 319*) SOUTH BOUND",6700,4588,,2017,-37.72898202,-0.004,355719
144.8867034,,EAST BOUND,"11,000* (3% 304*) EAST BOUND",11000,4592,,2017,-37.76899686,0.002,355720
144.5446008,,SOUTH BOUND,"11,000* (12% 1,300*) SOUTH BOUND",11000,5294,,2017,-37.41431042,0.038,355726
144.6094243,,SOUTH BOUND,"13,000* (11% 1,500*) SOUTH BOUND",13000,4353,,2017,-37.49449879,0.025,355727
144.9121451,,NORTH EAST BOUND,"5,000* (6% 311*) NORTH EAST BOUND",5000,5210,,2017,-37.83242038,0.001,355728
145.0848556,,SOUTH BOUND,"7,200* (3% 236*) SOUTH BOUND",7200,4281,,2017,-37.79466723,-0.003,355729
145.0606898,,EAST BOUND,"4,200* (2% 103*) EAST BOUND",4200,4687,,2017,-37.81037343,-0.054,355730
